LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.66175,11.84591,1,166,511,278,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,278,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,279,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,280,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,282,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,282,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,284,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,284,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,286,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,286,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,288,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,288,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,290,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,290,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,292,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66175,11.84591,1,166,511,292,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.66189,11.84574,26,330,511,3,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66189,11.84574,26,330,511,3,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,0,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
57.66297,11.83949,63,322,511,2,CLASS B,SE,10,NA,ISADORA,9,324703,4,6,3,NA,NA,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,0
