LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69191,11.76929,1,150,61,5,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,1,150,61,6,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,0,48,61,5,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76928,1,295,60,3,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76928,0,205,61,2,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76928,0,205,61,4,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,0,236,61,2,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,0,236,61,4,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,1,194,62,3,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.69191,11.76929,1,3,61,2,KROSSHOLMEN,SE,15,0,PENTA 81,9,325635,4,8,2,NA,NA,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
