LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.87452,30.20872,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87452,30.20872,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87453,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87453,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87454,30.20872,0,0,511,2,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87454,30.20872,0,0,511,2,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87454,30.20872,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87454,30.20872,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87451,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87451,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87452,30.20875,0,0,511,2,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87452,30.20875,0,0,511,2,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87452,30.20875,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87452,30.20875,0,0,511,4,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87453,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87453,30.20871,0,0,511,3,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
59.87456,30.20876,0,0,511,2,ST.PETERBURG,RU,109,0,MIR,9,345293,14,84,12,761,51,1,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Pleasure,St. Petersburg,1
