LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.65949,11.85232,0,0,511,3,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T13:57:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65949,11.85232,0,0,511,3,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T13:57:09.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65949,11.85232,0,0,511,5,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T13:59:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65949,11.85232,0,0,511,5,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T13:59:09.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65945,11.85235,0,0,511,2,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:01:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65945,11.85235,0,0,511,2,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:01:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65945,11.85235,0,0,511,4,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:03:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65945,11.85235,0,0,511,4,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:03:09.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,3,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:05:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,3,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:05:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,5,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:07:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,5,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:07:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,7,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:09:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.6595,11.85231,0,0,511,7,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:09:09.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
57.65949,11.85233,0,0,511,3,CLASS B,SE,12,NA,TRIPLE ESS,9,4201085,4,10,2,NA,NA,1,2016-12-15T14:11:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Pleasure,gothenborg,1
