LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.71685,11.95878,3,170,511,1360,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1361,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1364,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1366,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1368,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1370,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1372,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1374,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1376,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1378,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1379,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1382,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1384,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1386,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1388,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1389,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1390,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1394,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1396,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1396,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1398,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1400,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1404,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1406,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1406,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1410,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1410,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1414,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1415,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1418,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1419,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1422,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1424,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1426,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1428,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1430,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1432,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1434,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.71685,11.95878,3,170,511,1436,CLASS B,SE,7,NA,KAXE,9,4589812,2,4,2,NA,NA,0,2016-12-13T12:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
