LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.91729,11.60631,97,116,117,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:31:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.91477,11.61551,100,118,116,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:33:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.91358,11.62013,97,110,94,2,STENUNGSUND,BE,174,-720,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:35:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.91489,11.63388,92,61,59,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:37:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.91782,11.64189,94,49,50,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:39:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.92137,11.64951,98,48,50,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:41:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.92501,11.65734,100,51,55,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:43:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.92857,11.66649,100,53,51,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:45:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.93105,11.67175,99,42,40,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:47:07.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.93562,11.679,101,39,40,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:49:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.94044,11.68617,102,37,40,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:51:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.94533,11.69329,102,37,35,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:53:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.95003,11.69938,103,34,34,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:55:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.95479,11.70541,104,33,35,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T07:57:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.96463,11.71845,105,38,40,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:01:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.96898,11.72569,104,43,45,2,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:03:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.97141,11.73011,104,44,45,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:05:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.9777,11.7412,101,37,30,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:07:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.98259,11.74622,102,25,26,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:09:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.98769,11.75084,103,25,26,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:11:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.99287,11.75553,104,25,26,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:13:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.99287,11.75553,104,25,26,1,STENUNGSUND,BE,174,0,WAASMUNSTER,8,118748,30,134,5,37500,19,1,2016-12-18T08:15:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
