LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92028,30.00743,118,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:55:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.92028,30.00743,118,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:55:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91797,30.0191,109,111,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:57:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91797,30.0191,109,111,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:57:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91571,30.03013,106,111,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:59:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91571,30.03013,106,111,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T02:59:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.9133,30.04172,106,112,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:01:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.9133,30.04172,106,112,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:01:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91102,30.05273,107,112,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:03:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.91102,30.05273,107,112,113,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:03:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90852,30.06487,110,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:05:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90852,30.06487,110,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:05:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90611,30.07661,98,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:07:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90611,30.07661,98,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:07:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90515,30.0815,91,111,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:09:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90611,30.07661,98,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,160,18,37343,88,1,2016-12-18T03:09:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90321,30.09099,79,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:11:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90321,30.09099,79,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:11:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90151,30.09939,72,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:13:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90151,30.09939,72,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:13:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90015,30.10633,65,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:15:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.90081,30.10296,68,111,112,1,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:15:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89874,30.11335,60,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:17:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89874,30.11335,60,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:17:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89745,30.11975,55,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:19:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89745,30.11975,55,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:19:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89627,30.12577,53,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:21:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89627,30.12577,53,112,112,1,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:21:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89519,30.13115,51,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:23:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89519,30.13115,51,112,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:23:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89466,30.13373,50,111,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:25:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89466,30.13373,50,111,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:25:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89301,30.14186,48,113,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:27:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89301,30.14186,48,113,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:27:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89252,30.14425,43,112,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:29:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89252,30.14425,43,112,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:29:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89167,30.14843,32,111,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:31:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89167,30.14843,32,111,112,2,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:31:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89117,30.15098,24,112,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:33:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.89167,30.14843,32,111,112,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:33:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
59.8907,30.15319,31,112,115,3,ST PETERSBURG,CY,182,0,BALTIC AMBITION,8,144450,27,159,20,37343,88,1,2016-12-18T03:35:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Tanker,St. Petersburg,0
