LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.61357,11.60817,99,130,129,2,KARLSTAD,DK,87,-6,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:19:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.6117,11.6181,105,91,88,2,KARLSTAD,DK,87,-14,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:21:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.61255,11.6308,108,83,88,2,KARLSTAD,DK,87,4,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:23:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.6129,11.637,101,83,87,2,KARLSTAD,DK,87,16,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:25:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.6136,11.64962,95,84,87,2,KARLSTAD,DK,87,-5,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:27:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.61417,11.66048,90,84,87,2,KARLSTAD,DK,87,-11,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:29:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.61417,11.66048,90,84,87,2,KARLSTAD,DK,87,-11,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:31:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.6185,11.67295,90,36,37,3,KARLSTAD,DK,87,3,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:33:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.62365,11.67975,91,34,33,2,KARLSTAD,DK,87,-5,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:35:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
57.62908,11.68643,92,33,33,2,KARLSTAD,DK,87,-6,LEXUS,8,156323,13,70,10,4320,88,1,2016-12-16T01:37:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tanker,gothenborg,0
