LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.6905,11.82133,10,32,208,3,GOTHENBURG,DK,91,2,AALBORG,8,159701,15,69,2,3522,16,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.6905,11.82133,10,32,208,3,GOTHENBURG,DK,91,2,AALBORG,8,159701,15,69,2,3522,16,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.6905,11.82133,10,32,208,4,GOTHENBURG,DK,91,2,AALBORG,8,159701,15,69,2,3522,16,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.69183,11.82233,0,12,202,2,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.692,11.8225,10,32,203,2,GOTHENBURG,DK,91,6,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.692,11.8225,10,32,203,4,GOTHENBURG,DK,91,6,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.69217,11.82267,3,28,191,3,GOTHENBURG,DK,91,2,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69233,11.82283,9,5,190,3,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.69283,11.823,0,91,191,2,GOTHENBURG,DK,91,-11,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69283,11.823,0,91,191,2,GOTHENBURG,DK,91,-11,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69283,11.823,0,91,191,4,GOTHENBURG,DK,91,-11,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69283,11.823,0,91,191,4,GOTHENBURG,DK,91,-11,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,221,193,2,GOTHENBURG,DK,91,-1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,221,193,2,GOTHENBURG,DK,91,-1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,221,193,3,GOTHENBURG,DK,91,-1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,221,193,4,GOTHENBURG,DK,91,-1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,99,192,2,GOTHENBURG,DK,91,1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,99,192,2,GOTHENBURG,DK,91,1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:53:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,99,192,4,GOTHENBURG,DK,91,1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,99,192,4,GOTHENBURG,DK,91,1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,147,192,3,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,147,192,3,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:57:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,76,192,2,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,76,192,2,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,76,192,3,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,76,192,4,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,135,192,1,GOTHENBURG,DK,91,1,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.82317,0,76,192,4,GOTHENBURG,DK,91,-3,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:03:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,132,192,2,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,132,192,2,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,132,192,4,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,132,192,4,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:07:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.69267,11.823,0,132,192,4,GOTHENBURG,DK,91,0,AALBORG,8,159701,15,69,2,3522,16,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
