LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.61015,11.60678,124,88,88,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:45:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61015,11.60678,124,88,88,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:47:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61041,11.62854,126,89,89,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:49:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61049,11.64166,127,89,89,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:51:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61119,11.65681,126,77,72,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:53:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61385,11.66918,123,54,42,2,GOTEBORG,FO,133,-720,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:55:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61705,11.67429,118,36,33,3,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:57:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.62469,11.68445,121,33,31,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T20:59:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.62797,11.68853,121,33,31,3,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:01:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.63619,11.69761,121,25,23,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:03:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.64285,11.70355,120,23,23,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:05:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.64622,11.70699,118,34,42,3,GOTEBORG,FO,133,720,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:07:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.64863,11.71221,114,59,60,3,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:09:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.65297,11.73164,119,71,72,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:11:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.65503,11.74457,120,73,72,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:13:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.6563,11.75254,121,72,71,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:15:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.6589,11.76759,123,71,63,1,GOTEBORG,FO,133,-720,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:17:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.66085,11.77386,119,54,48,3,GOTEBORG,FO,133,-720,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:19:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.66605,11.78447,121,47,46,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:21:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67103,11.79468,120,48,46,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:23:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67548,11.80391,120,47,47,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:25:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67548,11.80391,120,47,47,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:25:07.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67925,11.81724,117,77,75,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:27:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67925,11.81724,117,77,75,2,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:27:07.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.68015,11.82419,118,76,74,3,GOTEBORG,FO,133,0,NORTHERN OCEAN,8,182321,20,111,17,13781,88,1,2016-12-17T21:29:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
