LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99507,12.12761,102,166,169,2,NORDENHAM,FO,89,720,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:53:07.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99507,12.12761,102,166,169,2,NORDENHAM,FO,89,720,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:53:10.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99091,12.12747,101,186,184,2,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:55:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.99507,12.12761,102,166,169,2,NORDENHAM,FO,89,720,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:55:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98357,12.12594,99,184,181,2,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:57:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98357,12.12594,99,184,181,2,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:57:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98035,12.12577,100,179,177,3,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:59:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.98035,12.12577,100,179,177,3,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T05:59:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.97501,12.12731,82,165,163,2,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T06:01:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.97501,12.12731,82,165,163,2,NORDENHAM,FO,89,0,EKEN,7,182425,13,70,10,4775,9,1,2016-12-15T06:01:18.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
