LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.604,11.6605,102,41,40,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:41:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.60833,11.66733,100,35,31,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:43:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.611,11.67067,100,34,32,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:45:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.616,11.677,100,34,31,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:47:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.62067,11.6825,101,32,30,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:49:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6255,11.688,102,31,30,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:51:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.63083,11.69367,93,20,8,2,GOTHENBURG,GB,183,-720,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:53:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.63583,11.69367,86,349,348,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:55:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.64083,11.6925,89,1,359,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:57:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.64583,11.69233,91,355,351,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T03:59:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65067,11.6905,94,347,348,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:01:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65667,11.68867,91,354,355,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:03:08.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.66183,11.689,80,16,19,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:05:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.66433,11.6905,76,23,24,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:07:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.668,11.69367,72,26,29,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:09:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67167,11.699,65,48,52,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:11:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67383,11.705,66,62,61,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:13:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.675,11.709,65,61,63,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:15:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6765,11.71617,63,80,84,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:17:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67667,11.72433,62,96,96,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:19:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67633,11.728,61,96,93,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:21:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67633,11.73583,61,88,86,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:23:07.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6765,11.74317,60,88,87,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:25:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6765,11.74683,58,89,87,3,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:27:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67667,11.75283,52,87,84,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:29:07.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67683,11.75783,46,82,82,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:31:04.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67717,11.76233,40,84,83,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:33:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.67733,11.76633,37,84,83,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:35:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6775,11.77033,34,86,82,2,GOTHENBURG,GB,183,0,GIJON KNUTSEN,8,188790,27,150,17,35692,71,1,2016-12-18T04:37:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
