LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.9939,11.7566,106,203,205,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T15:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.98795,11.75167,105,203,204,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T15:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.98253,11.74698,108,205,206,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T15:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.97732,11.74162,108,212,217,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T15:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.97732,11.74162,108,212,217,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T15:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.96961,11.72932,108,221,222,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.96486,11.72128,105,222,222,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.95927,11.71263,104,215,214,1,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.95392,11.70595,106,213,213,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.94892,11.6997,106,213,213,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.94648,11.69662,107,213,213,3,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:11:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.94079,11.68925,107,214,215,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.93616,11.68232,90,224,228,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:15:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.93293,11.67528,78,231,233,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.93059,11.6693,91,234,236,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92741,11.65882,100,245,247,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92539,11.6481,102,253,256,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:23:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92475,11.6427,105,259,261,3,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:25:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.9236,11.627,108,263,262,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92325,11.62138,107,262,261,3,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:29:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92137,11.60733,105,252,252,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.92137,11.60733,105,252,252,2,NOKAR,GB,115,0,HELENA KOSAN,8,191974,18,98,17,8555,19,1,2016-12-13T16:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
