LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.68904,11.87784,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87784,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87784,0,310,32,5,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87784,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.689,11.87785,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.689,11.87785,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87785,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87785,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87785,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87785,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87781,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87781,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87782,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87782,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87782,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87782,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.8778,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.8778,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87786,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87786,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:53:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87786,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87786,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:57:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87779,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87779,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87779,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87779,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87787,0,310,32,1,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87779,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:03:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87786,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87786,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87786,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87786,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:07:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87786,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87781,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87781,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87779,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:11:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87779,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87779,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:13:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87778,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87778,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:15:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:17:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87784,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68895,11.87783,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68895,11.87783,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:21:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68895,11.87783,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87783,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:23:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87783,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87783,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:25:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.689,11.87784,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.689,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:27:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87781,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.689,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:29:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87781,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68902,11.87781,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:31:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68907,11.87782,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68907,11.87782,1,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87788,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87788,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:35:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87788,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68903,11.87788,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:37:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68907,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68907,11.87784,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:39:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87782,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87782,0,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:41:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87782,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68901,11.87782,0,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,5,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,5,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:47:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,7,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68899,11.87778,0,310,32,7,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:49:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87788,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68905,11.87788,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,1,310,32,2,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:53:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:55:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,1,310,32,4,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:55:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:57:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:57:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,5,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:59:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,5,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T12:59:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,7,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87783,0,310,32,7,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:01:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87786,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:03:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87786,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:03:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87786,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.68904,11.87786,0,310,32,3,GOTHENBURG,GB,182,0,MARIE KIRK,8,197150,27,148,9,37217,88,1,2016-12-13T13:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
