LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69056,11.88053,0,313,40,3,GOTHENBURG,GI,99,1,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69056,11.88053,0,313,40,3,GOTHENBURG,GI,99,1,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:09:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,300,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,300,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:11:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,300,40,4,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,300,40,4,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:13:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88053,0,344,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:15:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88053,0,344,40,3,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:15:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,353,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,353,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:17:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,353,40,2,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
57.69055,11.88052,0,353,40,4,GOTHENBURG,GI,99,0,KEY BAY,8,205940,15,80,5,4500,88,0,2016-12-14T10:19:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,1
