LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.56009,18.8289,68,220,221,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.5457,18.80774,68,224,224,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.54276,18.80302,89,223,223,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53908,18.79614,102,239,250,2,GDYNIA,NL,114,720,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53807,18.78651,109,264,263,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53748,18.77595,111,264,264,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53701,18.7654,111,266,267,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53687,18.76001,112,267,267,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53665,18.7494,112,269,269,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53653,18.73341,112,269,268,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53644,18.72282,112,269,268,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53637,18.71222,100,269,269,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53635,18.7031,81,269,268,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53635,18.7031,81,269,268,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53329,18.6911,70,214,212,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53165,18.6894,72,205,203,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52751,18.68671,73,199,200,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52239,18.68365,43,203,211,2,GDYNIA,NL,114,0,THUN GALAXY,8,223660,15,100,5,7559,88,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,0
