LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.6033,11.66449,86,25,25,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:35:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.60581,11.66667,88,25,25,3,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:37:12.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.61097,11.67182,92,30,31,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:39:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.61651,11.67792,94,30,30,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:41:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.62177,11.68386,95,31,30,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:43:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.62487,11.68718,96,30,30,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:45:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.63058,11.69294,94,25,21,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:47:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.63831,11.69856,94,21,20,3,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:51:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.64118,11.70062,94,21,20,1,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:53:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.64646,11.70595,94,42,46,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:55:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65121,11.71948,93,70,74,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:57:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65199,11.72397,94,72,75,3,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T13:59:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65296,11.73032,94,75,76,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:01:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65534,11.74658,94,73,74,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:03:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.6573,11.75749,95,71,74,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:05:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65815,11.76211,96,71,73,3,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:07:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.65815,11.76211,96,71,73,3,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:09:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.66346,11.77994,91,45,47,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:11:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.66711,11.78688,94,45,47,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:13:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67096,11.79428,93,46,47,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:15:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67096,11.79428,93,46,47,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:17:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67453,11.80143,94,46,47,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:17:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67803,11.80912,85,61,71,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:19:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67803,11.80912,85,61,71,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:19:08.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67959,11.81821,75,74,76,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:21:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67803,11.80912,85,61,71,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:21:08.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.67959,11.81821,75,74,76,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:23:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.68024,11.82308,72,73,75,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:23:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.68152,11.83126,54,73,75,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:25:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.68152,11.83126,54,73,75,2,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:25:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.68196,11.83378,42,74,76,1,GOTHENBURG,MT,183,0,INDIAN POINT,8,279287,32,153,15,50922,88,1,2016-12-19T14:27:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
