LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.92119,11.6095,108,69,69,2,STENUNSGUND,MT,144,0,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:43:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.92119,11.6095,108,69,69,2,STENUNSGUND,MT,144,0,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:45:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.92413,11.63193,105,81,81,2,STENUNSGUND,MT,144,0,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:47:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.92461,11.63815,106,80,81,3,STENUNSGUND,MT,144,1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:49:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.92555,11.6502,107,83,78,2,STENUNSGUND,MT,144,-10,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:51:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.92727,11.66177,108,71,69,2,STENUNSGUND,MT,144,-9,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:53:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.93019,11.67197,105,47,41,2,STENUNSGUND,MT,144,-1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:55:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.93481,11.6798,104,37,35,2,STENUNSGUND,MT,144,-1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:57:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.93981,11.68695,105,35,34,2,STENUNSGUND,MT,144,3,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T12:59:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.94493,11.69382,104,36,33,2,STENUNSGUND,MT,144,4,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:01:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.94965,11.70023,106,35,34,2,STENUNSGUND,MT,144,-3,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:03:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.9524,11.70393,105,35,33,3,STENUNSGUND,MT,144,1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:05:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.95765,11.71088,107,35,34,1,STENUNSGUND,MT,144,4,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:07:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.9625,11.7175,108,35,33,2,STENUNSGUND,MT,144,-4,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:09:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.96728,11.72417,107,41,41,2,STENUNSGUND,MT,144,9,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:11:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.9727,11.7341,106,45,43,2,STENUNSGUND,MT,144,2,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:13:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.97746,11.7422,106,33,30,2,STENUNSGUND,MT,144,5,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:15:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.98245,11.74787,106,28,26,2,STENUNSGUND,MT,144,5,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:17:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.98541,11.75093,106,28,26,3,STENUNSGUND,MT,144,0,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:19:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.99117,11.75663,106,24,23,2,STENUNSGUND,MT,144,4,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:21:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.99639,11.76128,106,24,23,2,STENUNSGUND,MT,144,-4,PATANI,8,288159,23,134,11,16611,88,1,2016-12-17T13:23:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.9977,11.7565,108,210,211,2,GOTHENBURG,MT,144,5,PATANI,8,288159,23,134,11,16611,88,1,2016-12-18T16:53:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.9917,11.74988,108,210,211,2,GOTHENBURG,MT,144,-1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-18T16:55:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.9917,11.74988,108,210,211,2,GOTHENBURG,MT,144,-1,PATANI,8,288159,23,134,11,16611,88,1,2016-12-18T16:57:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.98135,11.73797,108,212,212,2,GOTHENBURG,MT,144,-5,PATANI,8,288159,23,134,11,16611,88,1,2016-12-18T16:59:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
