LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.51985,18.69797,0,315,224,3,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.5198,18.69802,0,315,226,4,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51987,18.69795,0,315,227,3,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51987,18.69797,1,51,225,2,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51987,18.69797,1,51,225,4,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51983,18.69798,0,53,229,3,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.5198,18.698,0,53,231,2,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.5198,18.698,0,53,231,3,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51966,18.69822,0,115,232,2,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.51972,18.69813,0,115,237,2,GDYNIA,PT,84,0,LUKE,8,299816,15,71,8,3811,19,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
