LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.37696,18.65815,0,236,167,4,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:37:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,1
54.37697,18.65792,5,275,162,3,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:45:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.37697,18.65792,5,275,162,5,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:47:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.37912,18.65667,19,353,171,4,LEIPAJA,IT,113,720,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:55:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38042,18.65725,17,33,215,3,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:57:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38042,18.65725,17,33,215,5,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T15:59:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38069,18.65846,16,314,1,3,LEIPAJA,IT,113,720,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T16:01:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38251,18.66026,42,36,37,3,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:03:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38251,18.66026,42,36,37,3,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:05:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.38766,18.66686,57,36,34,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:07:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.39053,18.67046,59,33,32,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:09:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.39376,18.67403,59,34,34,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:11:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.39638,18.67747,60,37,35,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:13:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.39774,18.67919,60,35,26,3,LEIPAJA,IT,113,-720,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:15:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.40093,18.68086,55,352,335,3,LEIPAJA,IT,113,-720,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:17:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.40419,18.67298,58,284,281,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,0,2016-12-17T16:21:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.40518,18.66652,60,289,299,2,LEIPAJA,IT,113,720,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:23:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.40764,18.66242,60,339,338,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:25:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.41125,18.66031,75,341,339,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:27:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.41562,18.6571,81,332,328,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:29:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.41959,18.65327,81,330,327,2,LEIPAJA,IT,113,0,MARY A,8,301374,18,87,14,8084,88,1,2016-12-17T16:31:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
