LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.72334,18.99535,91,208,206,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.71844,18.99139,90,204,206,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.71387,18.98774,89,204,206,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.7093,18.98401,90,205,208,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.70481,18.98004,90,209,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.70035,18.97581,91,208,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:27:03.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.69588,18.97164,90,208,211,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:29:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.69137,18.96756,92,207,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.68645,18.96319,90,206,211,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.68201,18.95906,91,208,213,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.67684,18.95421,91,208,212,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.67249,18.94982,89,214,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.66853,18.94462,88,217,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:41:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.66455,18.93946,90,217,221,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:43:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.66059,18.93429,89,216,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:45:03.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.66059,18.93429,89,216,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:47:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.65404,18.9257,89,218,217,2,GDANSK,PL,60,-720,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.64972,18.92157,89,208,214,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.64972,18.92157,89,208,214,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:53:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.64084,18.91347,89,207,212,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.6364,18.90947,90,207,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.63187,18.90574,89,205,211,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T09:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.6296,18.90385,90,205,210,1,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.6228,18.8982,90,206,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.61834,18.8944,90,206,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.61383,18.89057,91,206,210,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.6089,18.88663,89,202,207,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:09:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.60424,18.88336,89,201,206,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.59959,18.88017,90,201,206,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.59491,18.87697,90,201,205,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:15:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.5905,18.87301,88,210,214,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.58584,18.86834,89,210,215,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.58151,18.86394,90,211,215,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.57721,18.85949,90,211,214,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.57295,18.85504,88,211,214,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.56889,18.85019,88,220,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.56511,18.84465,89,220,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.56138,18.83913,88,221,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.55767,18.83359,88,221,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:33:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.55364,18.82744,88,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.5497,18.82134,89,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.54756,18.818,89,222,224,3,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:39:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.54362,18.81175,89,222,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53946,18.80509,86,223,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53559,18.7991,87,221,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.53197,18.79355,87,221,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52828,18.78789,87,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52466,18.7823,87,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.52466,18.7823,87,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:53:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.51736,18.77115,88,221,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.51375,18.76555,88,222,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50982,18.75933,87,223,224,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T10:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50619,18.75369,87,221,222,1,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50254,18.74815,87,222,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.49891,18.74264,86,221,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.49523,18.73742,86,219,221,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.49335,18.73481,86,219,221,3,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.48926,18.72926,86,217,220,3,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.48507,18.72377,86,217,220,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.48124,18.71874,86,217,220,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.47708,18.71332,86,217,220,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.47324,18.70835,86,216,219,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:19:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46941,18.70346,86,216,220,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46525,18.69815,86,216,219,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46133,18.69321,86,216,219,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:25:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45747,18.6882,86,217,221,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45373,18.68302,86,220,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45005,18.67765,87,220,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44638,18.67227,86,220,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44265,18.66691,86,220,223,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:35:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.43896,18.66159,86,220,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.43896,18.66159,86,220,222,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.43097,18.65162,85,198,202,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42634,18.64933,84,187,193,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:43:03.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.42156,18.65065,84,151,148,2,GDANSK,PL,60,-720,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41762,18.65511,85,147,152,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:47:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41375,18.65846,68,154,156,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.41055,18.66059,57,161,163,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:51:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40764,18.66243,55,157,156,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,1,2016-12-15T11:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40538,18.66594,56,112,110,2,GDANSK,PL,60,-720,PORONIEC,8,315728,9,50,8,1000,71,0,2016-12-15T11:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40442,18.67129,59,105,107,1,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,0,2016-12-15T11:57:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.40399,18.67429,48,102,104,3,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,0,2016-12-15T11:59:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
54.39967,18.68047,37,204,204,2,GDANSK,PL,60,0,PORONIEC,8,315728,9,50,8,1000,71,0,2016-12-15T12:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tanker,Gdańsk,0
