LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.61847,11.76256,0,102,209,5,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61847,11.76256,0,102,209,6,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61845,11.76257,0,310,209,5,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61845,11.76258,0,58,210,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61845,11.76258,0,58,210,4,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.6184,11.76268,7,193,215,2,GOTHENBURG,SE,36,720,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.61797,11.76227,7,229,234,2,GOTHENBURG,SE,36,720,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,0
57.61788,11.76207,0,94,237,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61788,11.76207,0,94,237,4,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61786,11.762,0,236,235,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61786,11.762,0,236,235,3,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.762,0,198,234,3,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.762,0,198,234,5,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,324,233,3,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,43,233,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,43,233,3,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,43,233,4,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,267,234,4,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,267,234,6,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,267,234,6,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61788,11.76199,0,125,234,3,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,314,232,1,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,50,233,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,50,233,4,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61787,11.76199,0,268,233,1,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61788,11.762,0,55,233,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
57.61788,11.762,0,55,233,2,GOTHENBURG,SE,36,0,TANKSKAR,8,321687,7,25,4,333,71,1,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tanker,gothenborg,1
