LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.87636,30.19405,4,10,159,2,SPB,RU,79,11,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87636,30.19405,4,10,159,2,SPB,RU,79,11,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87529,30.19519,30,144,133,2,SPB,RU,79,-2,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87529,30.19519,30,144,133,2,SPB,RU,79,-2,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87505,30.19564,5,37,140,3,SPB,RU,79,0,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87505,30.19564,5,37,140,3,SPB,RU,79,0,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,0,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87665,30.19379,35,340,161,2,SPB,RU,79,6,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87665,30.19379,35,340,161,2,SPB,RU,79,6,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87723,30.19341,6,115,173,2,SPB,RU,79,-1,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
59.87723,30.19341,6,115,173,2,SPB,RU,79,-1,GAZPROMNEFT EAST,8,347280,13,64,7,2774,71,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,0
