LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60667,11.60717,163,108,109,3,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:01:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.60467,11.62517,165,97,100,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:03:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.60417,11.64317,166,84,81,2,GOTHENBURG,NL,117,-720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:05:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.609,11.66067,168,51,47,2,GOTHENBURG,NL,117,-720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:07:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.61733,11.67183,170,32,35,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:09:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.62517,11.68133,170,33,35,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:11:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.63317,11.6905,170,31,33,2,GOTHENBURG,NL,117,720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:13:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.64217,11.70017,169,30,37,1,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:15:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.64917,11.7125,165,51,62,2,GOTHENBURG,NL,117,720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:17:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.65267,11.72817,166,71,71,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:19:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.65417,11.73617,166,72,74,3,GOTHENBURG,NL,117,720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:21:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.65717,11.755,166,73,73,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:23:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.6605,11.77167,165,64,54,2,GOTHENBURG,NL,117,-720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:25:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.6605,11.77167,165,64,54,2,GOTHENBURG,NL,117,-720,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:27:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.673,11.79767,163,48,51,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:29:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.678,11.81133,130,63,70,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:31:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
57.678,11.81133,130,63,70,2,GOTHENBURG,NL,117,0,FREYA,7,226006,18,102,8,6850,11,1,2016-12-15T04:31:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Cargo,gothenborg,0
