LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.68484,20.26613,77,272,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:31:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68484,20.26613,77,272,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:33:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68519,20.25514,76,275,511,3,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68542,20.24431,73,272,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68558,20.23732,76,272,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.6857,20.23364,76,274,511,3,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T11:41:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68575,20.22761,61,93,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,0,2016-12-13T21:29:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68557,20.23339,60,92,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T21:31:02.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68557,20.23339,60,92,511,4,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T21:33:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68532,20.24196,59,90,511,3,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T21:35:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68511,20.25055,60,92,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T21:37:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
54.68495,20.25624,59,92,511,2,CLASS B,RU,28,NA,DEYMA,8,347645,7,14,5,NA,NA,1,2016-12-13T21:39:03.000Z,kalingrad,2016-12-13T00:00:00.000Z,50,Tanker,Kalingrad,0
