LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.91449,30.24123,0,0,511,3,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24123,0,0,511,3,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24123,0,0,511,5,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24123,0,0,511,5,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24125,0,0,511,3,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24125,0,0,511,3,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24125,0,0,511,5,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24125,0,0,511,5,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91448,30.24124,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91448,30.24124,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91448,30.24124,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91448,30.24124,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24121,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24121,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24121,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:55:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91449,30.24121,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:55:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24122,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24122,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24122,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24122,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24128,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24128,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24121,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24121,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91445,30.24121,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91442,30.24124,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:21:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91442,30.24124,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:21:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91442,30.24124,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:23:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91442,30.24124,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:23:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24123,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91442,30.24124,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24123,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:27:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24123,0,0,511,3,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24122,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:29:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24122,0,0,511,2,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:29:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.91447,30.24122,0,0,511,4,SAINT-PETERSBURG,RU,85,0,ALEKSANDR GLUKHOV,8,348222,12,75,11,1986,88,0,2016-12-13T12:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
