LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.88385,30.22879,0,56,60,3,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88385,30.22879,0,56,60,3,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88385,30.22879,0,56,60,5,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88385,30.22879,0,56,60,5,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88382,30.22878,0,56,60,3,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88382,30.22878,0,56,60,3,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88382,30.22878,0,56,60,5,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88382,30.22878,0,56,60,5,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88385,30.22875,0,56,60,2,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.88385,30.22875,0,56,60,2,KRONSHTADT,RU,65,0,PEGAS,8,348904,10,55,3,1252,44,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
