LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.87653,30.22266,0,252,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,252,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22271,0,207,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22271,0,207,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22271,0,207,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22271,0,207,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22272,0,350,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22272,0,350,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22272,0,350,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22272,0,350,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87657,30.22273,0,301,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87657,30.22273,0,301,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:01:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:03:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87655,30.22272,0,332,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:03:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.8765,30.22271,0,101,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:05:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.8765,30.22271,0,101,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.8765,30.22271,0,101,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:07:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.8765,30.22271,0,101,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22268,0,69,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:09:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22268,0,69,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22268,0,69,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22268,0,69,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22268,0,56,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22268,0,56,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87659,30.22268,0,56,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87644,30.22269,0,320,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:27:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87644,30.22269,0,320,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87644,30.22269,0,320,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:29:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87644,30.22269,0,320,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:29:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:31:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,7,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87626,30.22233,0,205,511,5,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,1,2016-12-13T12:35:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,1,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:45:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:47:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,8,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87653,30.22266,0,292,511,8,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22271,0,36,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87646,30.22271,0,36,511,3,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T12:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22273,0,9,511,2,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T13:03:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22273,0,9,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T13:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22273,0,9,511,4,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T13:05:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22273,0,9,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T13:07:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87651,30.22273,0,9,511,6,UST01,RU,59,0,SESKAR,8,349836,10,40,6,1645,71,0,2016-12-13T13:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
