LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.87574,30.22183,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87574,30.22183,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87574,30.22183,0,152,511,5,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87574,30.22183,0,152,511,5,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87574,30.22183,0,152,511,7,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87574,30.22183,0,152,511,7,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,5,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,5,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,7,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87573,30.2218,0,152,511,7,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87571,30.2218,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87571,30.2218,0,152,511,3,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
59.87571,30.2218,0,152,511,5,CLASS B,RU,29,NA,SKAT,8,3540301,7,17,5,NA,NA,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tanker,St. Petersburg,1
