LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60133,11.65817,98,27,27,3,GOTHENBURG,BS,278,4,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T14:59:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.6065,11.66383,102,32,31,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:01:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61133,11.6695,104,33,31,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:03:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.61633,11.6755,105,32,29,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:05:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.62217,11.68217,107,32,29,2,GOTHENBURG,BS,278,-4,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:07:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.62467,11.685,106,29,27,3,GOTHENBURG,BS,278,4,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:09:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.632,11.6925,108,26,13,2,GOTHENBURG,BS,278,-14,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:11:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.638,11.69433,94,357,349,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:13:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.64383,11.69283,92,351,349,2,GOTHENBURG,BS,278,-2,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:15:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.64633,11.692,92,350,349,3,GOTHENBURG,BS,278,1,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:17:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.65217,11.69033,93,354,353,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:19:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.65785,11.6889,94,352,353,2,GOTHENBURG,BS,278,3,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:21:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.66333,11.68817,90,7,17,2,GOTHENBURG,BS,278,13,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:23:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.66784,11.6915,85,33,41,2,GOTHENBURG,BS,278,9,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:25:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.66784,11.6915,85,33,41,2,GOTHENBURG,BS,278,9,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:27:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67283,11.70167,86,57,60,3,GOTHENBURG,BS,278,4,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:29:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.6755,11.71167,87,69,73,1,GOTHENBURG,BS,278,5,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:31:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67683,11.72117,88,80,88,2,GOTHENBURG,BS,278,10,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:33:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67667,11.73,83,101,101,2,GOTHENBURG,BS,278,-4,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:35:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67617,11.73483,81,99,92,3,GOTHENBURG,BS,278,-9,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:37:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67633,11.7445,73,84,84,3,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:39:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67667,11.7515,64,83,84,3,GOTHENBURG,BS,278,2,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:41:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.677,11.7575,54,86,87,3,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:43:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
57.67717,11.764,42,86,85,2,GOTHENBURG,BS,278,0,GRENA KNUTSEN,8,375114,46,231,39,148553,71,1,2016-12-17T15:45:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tanker,gothenborg,0
