LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.92117,11.6065,94,76,78,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:29:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9225,11.61617,95,75,78,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:31:08.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.923,11.621,94,79,82,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:33:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.92417,11.63617,91,82,86,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:35:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.925,11.64717,90,79,81,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:37:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9265,11.65667,90,62,64,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:39:07.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.928,11.66183,92,63,67,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:41:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.93017,11.67067,94,64,67,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:43:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.93333,11.67817,91,39,40,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:45:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.93767,11.6845,93,39,39,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:47:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.94183,11.69033,93,36,38,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:49:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9465,11.6965,94,34,36,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:51:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.95067,11.70217,95,34,36,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:53:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.95517,11.70767,95,34,36,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:55:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.95984,11.71383,96,35,36,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:57:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.96417,11.7195,97,34,35,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T00:59:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.969,11.72567,96,33,33,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:01:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9715,11.72883,95,32,34,3,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:03:04.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9765,11.73483,95,32,34,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:05:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.9815,11.741,94,33,34,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:07:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.986,11.746,93,28,31,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:09:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
57.991,11.75133,94,29,29,2,STENUNGSUND,BS,99,0,GAS GALAXY,8,375160,16,77,11,3942,19,1,2016-12-19T01:11:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Tanker,gothenborg,0
