LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.66647,19.80887,59,103,113,2,KALININGRAD,SE,169,720,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:09:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.6659,19.81136,56,121,123,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:11:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.66447,19.81521,47,124,121,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:13:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.66311,19.81902,37,121,118,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:15:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.6623,19.82124,46,122,114,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:17:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.66057,19.82784,49,112,120,2,KALININGRAD,SE,169,720,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:19:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.66057,19.82784,49,112,120,4,KALININGRAD,SE,169,720,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:21:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.65859,19.83245,35,127,121,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:23:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.65766,19.83487,26,118,111,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:25:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.65648,19.84018,44,111,113,2,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:27:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
54.65579,19.84303,64,115,114,3,KALININGRAD,SE,169,0,BONITO,8,6338,23,138,14,25049,88,1,2016-12-15T07:29:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tanker,Kalingrad,0
