LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79697,18.86352,126,138,137,2,GDYNIA POLAND,HK,97,0,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:09:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.79172,18.87187,129,137,135,2,GDYNIA POLAND,HK,97,0,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.78612,18.88082,127,136,135,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.78082,18.8891,127,136,137,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.77503,18.89802,128,139,136,2,GDYNIA POLAND,HK,97,0,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.76943,18.9069,127,136,136,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.76403,18.91508,128,138,134,2,GDYNIA POLAND,HK,97,0,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.75882,18.92328,126,137,136,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.75313,18.93195,126,137,137,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74787,18.94008,126,137,135,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74208,18.9489,127,137,135,1,GDYNIA POLAND,HK,97,0,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:29:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.73615,18.95522,126,153,150,1,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.72928,18.95835,129,173,175,1,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.72577,18.95818,128,183,185,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.71743,18.95748,131,181,186,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.71035,18.9549,130,190,191,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.70338,18.95263,127,189,192,2,GDYNIA POLAND,HK,97,720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.69645,18.9499,127,197,194,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.68953,18.94677,129,194,196,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.68283,18.94273,127,199,199,2,GDYNIA POLAND,HK,97,-720,JOAN,8,687940,16,74,8,4000,19,1,2016-12-14T16:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
