LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.85205,20.80153,125,152,151,2,LV VNT>LT KLJ,MH,195,-2,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:07:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.84784,20.80563,124,152,151,2,LV VNT>LT KLJ,MH,195,-1,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:09:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.84008,20.81308,120,152,151,2,LV VNT>LT KLJ,MH,195,-4,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:11:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.83606,20.81692,117,152,151,2,LV VNT>LT KLJ,MH,195,1,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:13:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.82833,20.82433,110,152,152,2,LV VNT>LT KLJ,MH,195,-3,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:15:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.82467,20.82783,103,152,151,2,LV VNT>LT KLJ,MH,195,-2,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:17:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.82467,20.82783,103,152,151,2,LV VNT>LT KLJ,MH,195,-2,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:19:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.81517,20.83683,94,152,152,3,LV VNT>LT KLJ,MH,195,5,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:21:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.80961,20.84195,86,152,152,2,LV VNT>LT KLJ,MH,195,3,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:23:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.80416,20.847,77,153,152,2,LV VNT>LT KLJ,MH,195,-1,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:25:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.80183,20.849,73,153,153,2,LV VNT>LT KLJ,MH,195,3,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:27:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.79767,20.85283,66,153,153,2,LV VNT>LT KLJ,MH,195,2,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:29:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.79417,20.85617,57,168,167,2,LV VNT>LT KLJ,MH,195,20,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:31:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7913,20.85745,41,188,192,2,LV VNT>LT KLJ,MH,195,16,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:33:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.79007,20.85751,35,193,201,3,LV VNT>LT KLJ,MH,195,11,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:35:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.79007,20.85751,35,193,201,3,LV VNT>LT KLJ,MH,195,11,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:37:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78701,20.85729,12,194,249,3,LV VNT>LT KLJ,MH,195,13,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:39:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78619,20.85745,13,157,248,2,LV VNT>LT KLJ,MH,195,-9,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:41:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78619,20.85745,13,157,248,4,LV VNT>LT KLJ,MH,195,-9,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:43:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78517,20.85867,5,113,240,2,LV VNT>LT KLJ,MH,195,14,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:45:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78517,20.85867,5,113,240,3,LV VNT>LT KLJ,MH,195,14,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:47:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78453,20.85973,5,135,262,3,LV VNT>LT KLJ,MH,195,5,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:49:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78453,20.85973,5,135,262,5,LV VNT>LT KLJ,MH,195,5,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:51:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.78453,20.85973,5,135,262,7,LV VNT>LT KLJ,MH,195,5,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:53:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7835,20.86017,4,11,308,3,LV VNT>LT KLJ,MH,195,9,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:55:07.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,1
55.78366,20.85995,2,22,319,2,LV VNT>LT KLJ,MH,195,-4,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:57:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,1
55.78366,20.85995,2,22,319,4,LV VNT>LT KLJ,MH,195,-4,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T05:59:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,1
55.78366,20.85995,2,22,319,6,LV VNT>LT KLJ,MH,195,-4,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T06:01:13.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,1
55.78445,20.86079,2,160,277,2,LV VNT>LT KLJ,MH,195,-8,UZAVA,8,712156,32,164,25,52650,88,1,2016-12-16T06:03:06.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Tanker,Klaipeda,1
