LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79148,18.97016,134,156,156,1,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:07:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.78452,18.97451,135,164,161,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.77747,18.97842,133,161,158,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.76999,18.98345,134,156,155,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.76316,18.98824,132,162,158,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.75614,18.9922,133,157,159,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74864,18.99664,133,157,156,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74522,18.99899,132,157,156,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:21:03.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.74522,18.99899,132,157,156,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T12:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.51141,18.99715,132,202,206,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T13:31:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.50146,18.98908,134,206,204,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T13:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.49481,18.98354,134,208,206,1,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4884,18.97786,133,206,207,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4819,18.97196,133,206,205,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.47509,18.96645,134,205,203,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46851,18.96116,133,206,206,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:43:03.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.46188,18.95532,132,207,206,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45532,18.94958,132,208,206,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:47:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44854,18.9435,127,214,220,1,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:49:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44444,18.93479,96,256,272,2,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:51:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44444,18.93479,96,256,272,2,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44543,18.92,75,267,280,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,122,12,17596,88,1,2016-12-14T13:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44571,18.91311,71,268,281,2,GDANSK,MH,144,-720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T13:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44598,18.90657,69,267,280,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T13:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44623,18.89945,70,270,281,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:01:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44659,18.89282,54,295,310,2,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:03:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.44825,18.88928,41,330,352,2,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45039,18.88872,40,344,344,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:07:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45256,18.88775,31,340,346,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:09:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45397,18.88728,27,8,4,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45494,18.88786,7,25,344,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:13:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45494,18.88786,7,25,344,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:15:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45494,18.88786,7,25,344,6,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45387,18.88903,15,158,318,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45299,18.8891,4,222,332,2,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45299,18.8891,4,222,332,4,GDANSK,MH,144,720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45295,18.88867,2,242,345,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45295,18.88867,2,242,345,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45298,18.88871,2,17,344,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45295,18.88871,7,320,340,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45297,18.88845,3,242,345,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45297,18.88845,3,242,345,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45296,18.8885,4,356,349,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:37:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.453,18.88883,6,63,342,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:39:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.453,18.88883,6,63,342,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.453,18.88883,6,63,342,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:43:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45297,18.88861,7,222,343,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:45:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45297,18.88861,7,222,343,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:47:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45297,18.88861,7,222,343,5,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:49:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.453,18.8889,8,57,341,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:51:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.453,18.8889,8,57,341,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:53:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45305,18.88875,8,272,332,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45305,18.88875,8,272,332,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45292,18.88825,5,258,345,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T14:59:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45293,18.88823,5,94,355,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:01:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45298,18.88875,3,63,340,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45298,18.88875,3,63,340,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:05:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45301,18.88851,2,258,340,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45291,18.88829,3,254,350,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:09:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45291,18.88829,3,254,350,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:11:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45293,18.88837,1,331,348,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:13:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45292,18.88826,1,282,349,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:15:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45292,18.88826,1,282,349,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45292,18.88836,2,84,353,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45294,18.88865,3,158,335,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45294,18.88865,3,158,335,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:23:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.4529,18.88824,4,250,346,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45292,18.88813,3,340,356,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45292,18.88813,3,340,356,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:29:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45296,18.88846,5,64,347,3,GDANSK,MH,144,-720,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:31:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45299,18.8885,5,286,333,2,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:33:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45299,18.8885,5,286,333,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:35:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.45295,18.88792,4,261,344,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:37:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45295,18.88792,4,261,344,5,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:39:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
54.45288,18.88767,5,19,3,4,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:41:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,0
54.4529,18.88829,2,99,351,3,GDANSK,MH,144,0,SONGA SAPPHIRE,8,712443,22,117,16,17596,88,1,2016-12-14T15:43:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tanker,Gdańsk,1
