LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60346,11.66431,91,26,25,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T09:51:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.60615,11.66689,92,27,25,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T09:53:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.61149,11.67204,92,27,25,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T09:55:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.61405,11.67447,91,25,26,1,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T09:57:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.62131,11.68251,91,31,30,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T09:59:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.62569,11.68747,92,31,30,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:01:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.63017,11.69207,92,27,23,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:03:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.63517,11.69631,91,24,22,1,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:05:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.63977,11.70017,91,23,22,1,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:07:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.64248,11.70242,92,23,22,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:09:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.64701,11.70683,92,34,41,2,GOTEBORG,SG,145,720,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:11:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.64993,11.7141,87,66,69,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:13:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65077,11.7182,83,71,71,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:15:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.6528,11.72994,77,72,72,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:17:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65419,11.73811,76,72,72,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:19:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65556,11.74666,71,73,73,2,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:21:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
57.65684,11.75448,65,72,74,1,GOTEBORG,SG,145,0,ELISALEX SCHULTE,8,725648,23,122,17,16418,14,1,2016-12-18T10:23:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Tanker,gothenborg,0
