LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.44028,18.85918,0,239,239,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44048,18.85885,1,221,221,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44048,18.85885,1,221,221,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44047,18.8589,1,128,218,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44038,18.85908,1,143,233,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44038,18.85908,1,143,233,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44038,18.85908,1,332,242,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44038,18.85908,1,332,242,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.85887,3,318,228,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44062,18.85863,1,303,213,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.4406,18.85862,1,118,208,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.4406,18.85862,1,118,208,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.85883,2,126,216,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.85883,2,126,216,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44043,18.85903,1,144,234,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44043,18.85895,1,279,234,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44043,18.85895,1,279,234,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.8589,1,1,227,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.85885,1,222,222,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44052,18.85885,1,222,222,5,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44053,18.85887,0,227,227,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44053,18.85887,0,227,227,5,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44055,18.85873,1,313,223,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44055,18.85873,1,313,223,5,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44062,18.85862,1,121,211,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44062,18.85862,1,121,211,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44053,18.85877,2,124,214,3,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44047,18.85897,1,141,231,2,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
54.44047,18.85897,1,141,231,4,GDANSK,MT,99,0,JS CHUKAR,8,732780,17,81,9,4994,19,1,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tanker,Gdańsk,1
