LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.97267,20.80233,1,348,278,4,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97267,20.80233,1,348,278,4,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97276,20.80242,0,15,273,1,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97276,20.80242,0,15,273,4,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:37:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97275,20.80222,1,222,273,3,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97269,20.80242,2,113,274,2,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97269,20.80242,2,113,274,4,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97265,20.80259,0,181,277,3,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97265,20.80259,0,181,277,5,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97265,20.80259,0,181,277,7,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97265,20.80259,0,181,277,8,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97276,20.80248,3,358,282,2,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97276,20.80248,3,358,282,4,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:55:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.97283,20.8025,2,16,277,3,BUTINGE,LR,249,0,SCF BALTICA,8,753672,44,208,25,117153,71,1,2016-12-13T11:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
