LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.79244,20.84471,5,191,288,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:31:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79244,20.84471,5,191,288,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:33:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79326,20.8448,8,356,282,1,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:35:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79326,20.8448,8,356,282,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:37:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79375,20.84474,3,333,255,3,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:39:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.79332,20.84464,7,182,255,2,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:41:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79332,20.84464,7,182,255,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:43:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.7927,20.84475,4,170,281,3,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:45:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.79285,20.84476,7,351,293,2,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:47:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79285,20.84476,7,351,293,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:49:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79364,20.8448,9,351,275,2,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:51:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79409,20.84459,2,342,252,2,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:53:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.79409,20.84459,2,342,252,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:55:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,1
55.79372,20.84451,10,180,244,3,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:57:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79298,20.84473,9,172,264,2,KLAIPEDA,LR,183,720,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T11:59:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79298,20.84473,9,172,264,4,KLAIPEDA,LR,183,720,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T12:01:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.79283,20.84495,5,20,292,3,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T12:03:06.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.7935,20.8448,9,357,278,2,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T12:05:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
55.7935,20.8448,9,357,278,4,KLAIPEDA,LR,183,0,GREEN PLANET,8,756194,32,147,25,50844,16,1,2016-12-13T12:07:07.000Z,klaipeda,2016-12-13T00:00:00.000Z,50,Tanker,Klaipeda,0
