LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.94067,11.68817,125,35,36,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.94683,11.6965,124,34,34,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.953,11.70433,124,35,35,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.95583,11.708,125,35,36,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:15:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.9615,11.7155,126,36,38,3,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.96467,11.72033,125,40,42,1,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.97333,11.735,125,43,43,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.979,11.74417,127,35,32,2,STENENGSUND,DK,99,-720,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.98567,11.75067,125,26,27,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.9925,11.757,125,25,26,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.99617,11.76033,125,26,26,2,STENENGSUND,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-14T10:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tanker,gothenborg,0
57.99333,11.7555,119,206,206,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T07:53:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.98683,11.74967,121,205,205,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T07:55:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.98083,11.7445,121,204,205,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T07:57:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.97517,11.738,116,225,226,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T07:59:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.97066,11.72933,119,225,225,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:01:14.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.96517,11.72,120,215,215,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:03:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.95933,11.71267,120,214,215,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:05:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.95617,11.7085,120,214,213,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:07:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.9505,11.70133,120,214,214,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:09:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.94417,11.693,120,216,215,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:11:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.93884,11.68567,120,216,215,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:13:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.933,11.67783,119,220,225,2,PORVOO,DK,99,720,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:15:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.92933,11.66767,119,241,241,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:17:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.92667,11.65633,119,254,255,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:19:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.92517,11.64417,120,259,261,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:21:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.92417,11.63183,121,261,261,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:23:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.9235,11.6235,121,262,260,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:25:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.9215,11.60817,121,255,255,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T08:27:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.61167,11.60717,109,127,130,3,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T10:29:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.607,11.61917,108,122,126,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T10:31:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.60333,11.63033,108,119,122,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T10:33:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
57.60067,11.6405,110,113,118,2,PORVOO,DK,99,0,NORDIC NORA,8,858023,16,90,1,5810,88,1,2016-12-15T10:35:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tanker,gothenborg,0
