LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.51579,18.99702,134,207,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T16:59:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.50915,18.99129,134,206,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:01:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.50253,18.98552,133,207,206,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:03:01.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.49535,18.97933,133,206,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:05:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.49205,18.97647,134,207,206,3,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:07:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.48213,18.96797,133,206,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:09:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.47548,18.9621,133,207,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:11:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.46898,18.95642,131,206,206,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:13:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.46253,18.95086,130,207,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:15:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
54.45619,18.94538,128,206,207,2,PLGDN,MH,99,0,ECO GREEN,8,993606,18,73,5,5209,19,1,2016-12-17T17:17:02.000Z,gdansk,2016-12-17T00:00:00.000Z,51,Tanker,Gdańsk,0
