LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.89676,30.22516,0,201,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,201,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,201,344,5,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,201,344,5,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,12,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,12,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,12,344,5,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89676,30.22516,0,12,344,5,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89677,30.22517,0,195,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89677,30.22517,0,195,344,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89677,30.22517,0,308,345,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89677,30.22517,0,308,345,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.89403,30.22241,105,210,202,1,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89403,30.22241,105,210,202,1,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:43:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89168,30.21887,104,225,219,2,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:45:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89168,30.21887,104,225,219,2,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:45:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88864,30.20949,102,280,276,2,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T11:47:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.88864,30.20949,102,280,276,2,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T11:47:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89335,30.21084,106,35,29,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T11:49:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89335,30.21084,106,35,29,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T11:49:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89859,30.21787,105,31,28,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:51:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.89859,30.21787,105,31,28,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:51:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90289,30.22354,89,34,30,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:53:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90289,30.22354,89,34,30,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:53:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90524,30.22669,83,31,29,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:55:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90524,30.22669,83,31,29,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:55:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90995,30.23143,105,10,9,3,SAINT.PETERSBURG,RU,28,-720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:57:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.90995,30.23143,105,10,9,3,SAINT.PETERSBURG,RU,28,-720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:57:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.91133,30.23202,6,21,310,1,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.91133,30.23202,6,21,310,1,SAINT.PETERSBURG,RU,28,720,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T11:59:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,0
59.9113,30.23177,4,45,220,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:01:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23177,4,45,220,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:01:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23177,4,45,220,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:03:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23177,4,45,220,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:03:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23177,0,187,217,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:05:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23177,0,187,217,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:05:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23177,0,187,217,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:07:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23177,0,187,217,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:07:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23178,0,153,218,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:09:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23178,0,153,218,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:09:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23178,0,153,218,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:11:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.91131,30.23178,0,153,218,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:11:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,124,219,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:13:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,124,219,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,0,2016-12-13T12:13:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,124,219,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:15:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,124,219,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:15:06.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,173,218,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:17:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,124,219,5,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:17:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,173,218,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,173,218,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:19:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.2318,0,74,219,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:21:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.2318,0,74,219,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:21:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.2318,0,74,219,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:23:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.2318,0,74,219,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:23:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,98,219,2,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,98,219,0,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:25:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,98,219,4,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:27:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
59.9113,30.23179,0,98,219,3,SAINT.PETERSBURG,RU,28,0,LOOKMAN,3,1039931,10,12,6,575,54,1,2016-12-13T12:27:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Tug,St. Petersburg,1
