LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70671,11.66014,18,206,27,2,,SE,16,720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,0,2016-12-14T14:03:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.70575,11.66316,66,108,109,2,,SE,16,0,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:05:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.70395,11.6706,75,98,98,2,,SE,16,-720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:07:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.69853,11.69123,259,148,149,2,,SE,16,-720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:09:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.68736,11.70803,260,141,143,2,,SE,16,-720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:11:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.67872,11.72868,253,113,111,2,,SE,16,-720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.67728,11.75419,251,86,87,2,,SE,16,-720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:15:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.67847,11.78007,250,86,88,2,,SE,16,720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.67869,11.806,249,87,88,2,,SE,16,0,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.67869,11.806,249,87,88,2,,SE,16,0,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:19:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.68053,11.83129,247,90,91,2,,SE,16,720,PILOT 218 SE,3,1123136,5,10,3,NA,NA,1,2016-12-14T14:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
