LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.95698,20.21491,0,4,153,3,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:41:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,5,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:43:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,7,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:45:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,9,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:47:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,11,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,11,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:51:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,15,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:53:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,17,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:55:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,19,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:57:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,21,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T03:59:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95698,20.21491,0,4,153,23,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:01:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95699,20.21489,0,58,154,3,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:03:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95699,20.21489,0,58,154,5,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:05:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95699,20.21489,0,58,154,7,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:07:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95699,20.21489,0,58,154,9,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:09:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95699,20.21489,0,58,154,11,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-15T04:11:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Tug,Kalingrad,1
54.95901,20.21482,23,61,62,2,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-17T12:43:03.000Z,kalingrad,2016-12-17T00:00:00.000Z,51,Tug,Kalingrad,0
54.95901,20.21482,23,61,62,4,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-17T12:45:03.000Z,kalingrad,2016-12-17T00:00:00.000Z,51,Tug,Kalingrad,0
54.96026,20.2185,34,51,53,2,PRIONERSKIY,CY,60,0,PETER THE GREAT,3,124887,17,5,7,2000,35,1,2016-12-17T12:47:02.000Z,kalingrad,2016-12-17T00:00:00.000Z,51,Tug,Kalingrad,0
