LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.74825,11.60701,125,91,90,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:03:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.74832,11.61463,124,89,88,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:05:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.74839,11.63724,123,97,99,2,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:07:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.74709,11.64388,123,113,113,3,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:09:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.74335,11.65644,121,134,137,2,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:11:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.73639,11.66204,79,160,159,1,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:13:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.7339,11.66362,69,160,160,2,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:15:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.72997,11.66388,69,182,181,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:17:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.72505,11.66333,73,183,180,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:19:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.72299,11.66306,74,182,177,3,OCKERO,SE,56,-720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:21:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.71755,11.6643,74,170,166,1,OCKERO,SE,56,-720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:23:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.7149,11.66528,72,168,165,3,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:25:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.71093,11.66677,43,170,167,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:27:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70866,11.66772,28,166,169,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:29:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70791,11.66789,27,177,178,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:31:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70611,11.66631,32,235,232,2,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:33:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70574,11.66296,31,278,278,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:35:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70603,11.66155,21,304,302,3,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:37:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70621,11.66099,5,274,29,2,OCKERO,SE,56,720,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:39:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70612,11.66006,7,286,120,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:41:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70617,11.65935,6,275,120,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:43:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.70619,11.65907,1,251,130,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:45:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.65907,1,251,130,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:47:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70618,11.65906,1,252,129,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:49:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70618,11.65906,1,252,129,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:51:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.7062,11.65903,0,252,129,1,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:53:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.7062,11.65903,0,252,129,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:55:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.65905,1,252,130,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:57:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.65905,1,252,130,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T07:59:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.65905,1,252,130,3,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:01:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70617,11.65914,0,252,130,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:03:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70617,11.65914,0,252,130,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:05:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70621,11.65907,1,252,130,3,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:07:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.6591,0,252,130,2,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:09:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.70619,11.6591,0,252,130,4,OCKERO,SE,56,0,FRANKLIN,3,182358,12,11,8,1218,59,1,2016-12-16T08:11:07.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
