LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.99729,11.70625,93,169,169,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:05:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.99421,11.70702,100,173,172,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:07:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.98834,11.70921,100,146,142,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.98697,11.71955,101,85,83,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:11:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.98767,11.73013,100,85,87,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:13:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.98866,11.74133,103,74,73,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:15:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.99259,11.74996,104,31,32,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:17:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.99763,11.75512,103,25,24,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-14T11:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Tug,gothenborg,0
57.99743,11.75321,102,212,210,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:21:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99294,11.74687,100,219,216,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:23:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98862,11.73895,101,243,242,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:25:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98765,11.72865,100,272,268,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:27:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98765,11.72865,100,272,268,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:29:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.9898,11.71077,103,302,306,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:31:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99643,11.70671,104,354,353,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T11:33:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99363,11.70746,100,170,168,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:41:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98812,11.70877,101,173,171,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:43:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98257,11.70999,102,175,172,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:45:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.97657,11.71142,100,172,171,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:47:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.97131,11.71258,58,173,173,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:49:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.96811,11.71344,58,172,171,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:51:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.96493,11.71292,45,208,205,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:53:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.96449,11.71276,1,169,199,3,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:55:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,1
57.96486,11.7128,48,1,180,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T20:57:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.96899,11.71265,76,350,167,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T20:59:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.97311,11.71154,72,349,170,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T21:01:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.97539,11.7111,90,352,173,3,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T21:03:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98005,11.70976,77,353,171,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T21:05:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.98512,11.70869,79,356,177,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T21:07:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99018,11.70772,77,354,171,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-16T21:09:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99232,11.70728,78,352,170,3,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T21:11:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99757,11.70605,67,356,172,2,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,0,2016-12-16T21:13:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Tug,gothenborg,0
57.99972,11.70576,104,175,174,3,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:19:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
57.99389,11.70671,106,174,172,3,TUG OPS WESTCOAST,FO,37,-720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:21:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
57.98759,11.70814,105,173,171,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:23:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
57.98176,11.70986,110,172,170,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:25:04.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
57.97539,11.71182,107,171,172,2,TUG OPS WESTCOAST,FO,37,0,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:27:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
57.97239,11.71236,108,173,173,2,TUG OPS WESTCOAST,FO,37,720,SVITZER ODEN,3,182384,14,20,7,170,54,1,2016-12-17T09:29:06.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Tug,gothenborg,0
