LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.68539,11.88651,0,184,275,3,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68537,11.88655,0,184,276,2,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68537,11.88655,0,184,276,4,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.8866,0,184,276,3,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.8865,0,184,275,2,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.8865,0,184,275,4,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.88648,0,184,275,3,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.88648,0,184,275,3,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.88648,0,184,275,5,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.88648,0,184,275,5,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.68535,11.88648,0,184,275,7,GOTEBORG,FO,31,0,SVITZER GEO,3,182435,11,12,5,169,54,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
