LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.98615,20.35031,38,290,286,2,PIONERSKIY,NL,29,-720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:11:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98615,20.35031,38,290,286,4,PIONERSKIY,NL,29,-720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:13:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98615,20.35031,38,290,286,6,PIONERSKIY,NL,29,-720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:15:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98551,20.34551,11,219,334,3,PIONERSKIY,NL,29,720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:19:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98532,20.34511,12,278,329,3,PIONERSKIY,NL,29,0,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:21:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98535,20.34437,13,314,338,2,PIONERSKIY,NL,29,720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:23:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98535,20.34437,13,314,338,4,PIONERSKIY,NL,29,720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:25:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98554,20.34403,14,280,326,3,PIONERSKIY,NL,29,720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:27:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98554,20.34403,14,280,326,5,PIONERSKIY,NL,29,720,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:29:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
54.98679,20.32395,64,283,276,3,PIONERSKIY,NL,29,0,NERO,3,273075,12,14,2,0,101,0,2016-12-14T12:35:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Tug,Kalingrad,0
