LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.53843,18.52396,0,229,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:31:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53846,18.52417,0,221,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:33:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53845,18.52395,0,285,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:35:10.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53845,18.52395,0,285,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:37:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53844,18.52387,0,293,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:39:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53847,18.52389,0,293,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:41:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53847,18.52389,0,293,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:43:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.5384,18.5239,0,293,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:45:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52398,0,297,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:47:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52398,0,297,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:49:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52398,0,297,114,6,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:51:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52398,0,297,114,8,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:53:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52398,0,297,114,10,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:55:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52386,0,306,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:57:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53851,18.52384,0,302,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T12:59:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53851,18.52384,0,302,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:01:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53842,18.52404,0,308,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:03:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53846,18.52392,0,300,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:05:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53846,18.52392,0,300,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:07:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53841,18.524,0,297,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:09:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53846,18.52387,0,301,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:11:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53846,18.52387,0,301,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:13:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53847,18.52398,0,277,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:15:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53847,18.52398,0,277,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:17:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53848,18.52389,0,265,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:19:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.53845,18.52396,0,250,114,3,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:21:08.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.5385,18.52396,0,270,114,2,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:23:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
54.5385,18.52396,0,270,114,4,GDYNIA,MT,59,0,OPAL,3,284483,15,11,9,1343,93,0,2016-12-16T13:25:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Tug,Gdynia,1
