LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.53475,18.60447,88,93,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,0,2016-12-13T13:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53467,18.61079,88,88,511,3,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53488,18.62136,89,89,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53496,18.63228,92,91,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53548,18.6483,195,82,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:29:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53649,18.65689,194,70,511,3,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53767,18.64347,185,266,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53695,18.62055,195,268,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53637,18.60224,196,268,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T13:37:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53503,18.61378,196,89,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53513,18.62313,196,88,511,3,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:05:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53568,18.63715,196,83,511,3,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.52971,18.65277,197,159,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:11:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.52242,18.66232,51,292,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.52755,18.64237,200,291,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53105,18.61934,200,283,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.5328,18.60031,198,276,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-13T21:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.53551,18.62103,196,89,511,2,CLASS B,PL,15,NA,PILOT-5,3,315705,4,7,2,NA,NA,1,2016-12-14T12:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
