LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.40438,18.67282,78,287,286,2,GDYNIA,PL,22,-28,TUCANA,3,315719,6,10,2,NA,NA,0,2016-12-14T10:55:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.40593,18.66559,81,303,304,2,GDYNIA,PL,22,22,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T10:57:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.41009,18.66118,92,334,333,2,GDYNIA,PL,22,9,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T10:59:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.41484,18.65636,90,325,326,2,GDYNIA,PL,22,68,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:01:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.41883,18.65119,90,324,320,2,GDYNIA,PL,22,14,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:03:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.41883,18.65119,90,324,320,2,GDYNIA,PL,22,14,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:05:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.42602,18.64259,87,338,335,2,GDYNIA,PL,22,-30,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:07:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.431,18.63942,91,337,337,2,GDYNIA,PL,22,22,TUCANA,3,315719,6,10,2,NA,NA,0,2016-12-14T11:09:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.431,18.63942,91,337,337,2,GDYNIA,PL,22,22,TUCANA,3,315719,6,10,2,NA,NA,0,2016-12-14T11:11:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.43998,18.632,89,332,331,2,GDYNIA,PL,22,26,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:13:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.44438,18.62795,90,329,329,2,GDYNIA,PL,22,20,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:15:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.44886,18.6241,89,331,330,2,GDYNIA,PL,22,1,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:17:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.45145,18.62182,91,332,332,2,GDYNIA,PL,22,0,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:19:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.45586,18.61767,90,328,329,2,GDYNIA,PL,22,71,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:21:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.45586,18.61767,90,328,329,2,GDYNIA,PL,22,71,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:23:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.46558,18.60883,90,329,328,2,GDYNIA,PL,22,58,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:25:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.46998,18.6046,92,330,331,2,GDYNIA,PL,22,24,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-14T11:27:02.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.47481,18.60003,91,331,331,2,GDYNIA,PL,22,-30,TUCANA,3,315719,6,10,2,NA,NA,0,2016-12-14T11:29:01.000Z,gdansk,2016-12-14T00:00:00.000Z,50,Tug,Gdańsk,0
54.48996,18.6013,96,136,132,2,GDYNIA,PL,22,-28,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T07:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.48552,18.60765,96,135,135,2,GDYNIA,PL,22,90,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T07:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.48144,18.61364,95,136,134,2,GDYNIA,PL,22,-20,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T07:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.48144,18.61364,95,136,134,2,GDYNIA,PL,22,-20,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T07:57:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47495,18.62313,96,138,136,2,GDYNIA,PL,22,9,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T07:59:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47087,18.6291,97,141,139,2,GDYNIA,PL,22,-8,TUCANA,3,315719,6,10,2,NA,NA,1,2016-12-15T08:01:10.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
