LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.93947,19.87321,56,196,199,2,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:17:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,4,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:19:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,6,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:21:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,8,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:23:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,10,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:25:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,10,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:27:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,14,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:29:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,16,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:31:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,18,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:33:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,20,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:35:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,22,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:37:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,24,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:39:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,26,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:41:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,28,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:43:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,30,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:45:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,32,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:47:03.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
54.93947,19.87321,56,196,199,32,KALININGRAD,RU,35,0,ODISSEY,3,315726,9,15,4,118,54,1,2016-12-16T03:49:02.000Z,kalingrad,2016-12-16T00:00:00.000Z,51,Tug,Kalingrad,0
