LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.52934,18.52588,0,66,233,1,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:31:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52588,0,66,233,3,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52587,0,179,234,2,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52587,0,2,235,1,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52587,0,2,235,3,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52587,0,2,235,5,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52935,18.52585,0,41,235,1,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52935,18.52585,0,41,235,3,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52935,18.52585,0,18,234,2,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
54.52934,18.52585,0,335,236,1,GDYNIA,PL,35,0,ODYS,3,315731,9,9,3,0,54,1,2016-12-13T11:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Tug,Gdynia,1
