LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.39322,18.70883,1,178,208,4,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.3932,18.70887,0,178,233,3,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.3932,18.70887,0,178,233,5,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39322,18.70883,0,178,211,3,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39322,18.70883,0,178,211,5,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39317,18.70882,1,178,208,3,GDANSK,PL,58,720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39317,18.70882,1,178,208,5,GDANSK,PL,58,720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39315,18.70888,0,178,229,2,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39315,18.70888,0,178,229,4,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39318,18.70888,1,178,233,3,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.3932,18.70885,0,178,227,2,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.3932,18.70885,0,178,227,4,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39318,18.7088,1,178,209,2,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39318,18.7088,1,178,209,2,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39312,18.70887,0,178,221,2,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39312,18.70887,0,178,221,3,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39312,18.70887,0,178,221,5,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39315,18.70893,1,178,234,4,GDANSK,PL,58,0,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39322,18.70885,0,178,233,2,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
54.39322,18.70885,0,178,233,4,GDANSK,PL,58,-720,SM PRC 108,3,315820,9,0,0,1084,113,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,1
