LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.49348,18.60003,68,129,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.49076,18.60468,71,131,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.4882,18.60951,71,135,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.48535,18.61478,66,128,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.48389,18.61751,64,135,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.4813,18.62226,69,128,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47871,18.62709,70,135,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47613,18.6319,66,136,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47355,18.63669,70,138,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
54.47097,18.64145,68,131,511,2,GDYNIA,PL,18,0,HYDROGRAF 10,3,316141,4,7,2,NA,NA,1,2016-12-15T07:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Tug,Gdańsk,0
