LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79633,18.90887,95,135,135,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:21:03.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.79448,18.9121,94,135,134,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:23:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.79064,18.91886,94,134,135,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:25:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.78653,18.92458,94,143,142,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:27:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.78238,18.92994,93,143,145,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.77826,18.93523,92,143,145,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:31:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.77411,18.94049,92,143,145,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.76899,18.94613,93,165,171,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:35:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.76303,18.94613,92,181,183,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:37:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.75761,18.94579,93,181,184,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:39:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.75234,18.94542,93,183,183,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:41:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.74721,18.94506,92,181,184,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:43:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.74465,18.94489,93,182,181,1,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:45:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.737,18.94444,92,181,182,1,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:47:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.73188,18.94419,92,181,182,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:49:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.73188,18.94419,92,181,182,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:51:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.7215,18.94393,92,180,181,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:53:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.71636,18.94393,92,179,182,1,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:55:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.71125,18.94402,92,179,183,1,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:57:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.70868,18.94407,93,179,183,1,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T06:59:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.70095,18.94432,94,178,182,1,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:01:03.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.69836,18.94444,93,179,182,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:03:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.69307,18.94462,94,178,182,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:05:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.69307,18.94462,94,178,182,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:07:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.68288,18.94308,93,200,202,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:09:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.67805,18.94006,93,199,202,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:11:03.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.67321,18.93704,92,199,202,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:13:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.66823,18.93392,93,201,204,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:15:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.66341,18.93058,93,202,204,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:17:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.65858,18.92734,93,201,204,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:19:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.6538,18.92403,94,202,204,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:21:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.64891,18.92068,94,201,204,2,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:23:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.64408,18.91734,94,202,204,1,GDANSK,PL,28,-720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:25:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.63868,18.91361,93,201,204,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:27:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.63868,18.91361,93,201,204,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.63146,18.90858,94,202,205,2,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:31:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.62393,18.90331,94,201,205,2,GDANSK,PL,28,720,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
54.61839,18.89942,95,202,204,1,GDANSK,PL,28,0,ZEUS,3,316950,8,7,2,76,54,1,2016-12-19T07:35:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Tug,Gdańsk,0
