LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.50494,18.70188,112,70,71,2,,PL,62,1,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.5166,18.75008,102,2,355,2,,PL,62,-86,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51782,18.74295,103,249,250,2,,PL,62,3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51577,18.73341,107,248,250,2,,PL,62,-4,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51367,18.72381,108,250,251,2,,PL,62,2,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51158,18.71419,107,249,250,2,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50946,18.70448,107,249,250,2,,PL,62,1,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50841,18.69967,108,250,250,2,,PL,62,-8,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50629,18.69002,107,248,249,2,,PL,62,3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50303,18.6755,107,248,250,2,,PL,62,8,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50092,18.66596,108,249,250,2,,PL,62,3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49869,18.6558,108,248,250,2,,PL,62,2,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49652,18.64593,108,249,250,2,,PL,62,-3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49652,18.64593,108,249,250,2,,PL,62,-3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49222,18.62613,106,260,264,2,,PL,62,46,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49309,18.6217,101,320,326,2,,PL,62,71,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49743,18.62554,106,70,71,2,,PL,62,-3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50077,18.64176,127,70,71,2,,PL,62,-1,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50317,18.65338,129,70,70,2,,PL,62,-8,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50549,18.6651,130,70,71,2,,PL,62,3,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50791,18.67716,130,71,71,1,,PL,62,2,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51035,18.68904,131,69,70,2,,PL,62,1,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51279,18.70077,131,71,71,2,,PL,62,-1,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51521,18.71254,130,71,70,2,,PL,62,4,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51761,18.72431,131,71,71,2,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.52003,18.73609,130,70,71,2,,PL,62,6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.5225,18.74808,131,70,70,2,,PL,62,-8,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.52455,18.75992,126,95,101,2,,PL,62,64,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51978,18.76097,124,242,245,2,,PL,62,38,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51722,18.74913,129,250,251,2,,PL,62,8,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51476,18.73739,129,249,250,2,,PL,62,0,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.51233,18.72584,128,249,250,2,,PL,62,5,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50994,18.71448,128,248,249,2,,PL,62,13,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50738,18.70232,129,250,250,2,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50493,18.69071,129,249,250,2,,PL,62,4,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50247,18.67915,128,250,250,2,,PL,62,-5,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50126,18.67338,129,249,250,3,,PL,62,-11,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49753,18.65535,128,252,252,1,,PL,62,-13,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49636,18.64956,128,250,250,2,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49636,18.64956,128,250,250,4,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49636,18.64956,128,250,250,4,,PL,62,-6,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49469,18.62296,82,0,0,2,,PL,62,0,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.49945,18.623,82,1,1,2,,PL,62,-5,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:53:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.50322,18.62296,44,359,0,2,,PL,62,0,ORP ARCTOWSKI,3,317044,11,28,9,NA,NA,1,2016-12-13T12:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
