LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.54891,18.60217,91,76,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:27:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.54985,18.6113,103,83,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:29:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.55056,18.6211,103,83,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:31:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.5512,18.63158,111,79,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:33:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.55205,18.64253,119,80,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:35:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.55427,18.6539,127,62,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:37:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.55588,18.65932,127,63,511,3,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:39:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.56128,18.67503,127,58,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:41:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.56495,18.68537,126,61,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:43:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.56836,18.69601,126,63,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:45:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.57154,18.7063,111,60,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:47:10.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.5742,18.71499,93,62,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:49:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.57595,18.72232,75,77,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:51:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.57692,18.72944,77,76,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:53:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.57794,18.7367,77,71,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:55:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.57901,18.74372,75,72,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:57:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.58024,18.75044,74,74,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T07:59:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.58082,18.7538,73,79,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T08:01:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
54.58428,18.76208,73,50,511,2,GDYNIA,PL,39,0,WDZYDZE,3,317050,8,7,4,NA,NA,1,2016-12-20T08:03:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Tug,Gdańsk,0
