LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.73008,18.74678,47,145,137,54,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,64,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,66,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,68,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,70,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,72,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,74,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,75,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,77,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
54.73008,18.74678,47,145,137,80,GDYNIA,PL,49,-720,ORP BIELIK,3,317143,6,19,3,NA,NA,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Tug,Gdańsk,0
