LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70666,11.66306,0,0,511,1,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T13:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70666,11.66306,0,0,511,3,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T13:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70665,11.66308,0,0,511,1,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:15:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70665,11.66308,0,0,511,3,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.66309,0,0,511,2,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:19:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.66309,0,0,511,2,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:21:04.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.66309,0,0,511,3,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:23:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.6631,0,0,511,2,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:25:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.6631,0,0,511,2,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.70664,11.66311,0,0,511,3,OXELESUND&KAPPEKSKAR,SE,13,0,PILOT 729 SE,3,320572,4,7,2,NA,NA,0,2016-12-13T15:29:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
