LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.83049,12.00928,0,339,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00928,0,339,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00928,0,339,0,5,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83048,12.00928,0,7,0,3,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,335,0,2,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,335,0,2,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,335,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,335,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00927,0,331,1,3,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00927,0,331,1,3,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83047,12.0093,0,316,0,2,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83047,12.0093,0,316,0,2,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83047,12.0093,0,316,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83047,12.0093,0,316,0,4,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,317,1,3,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,317,1,3,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,317,1,5,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,317,1,5,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.83049,12.00926,0,317,1,7,VAENERN,SE,20,0,ALVBJORN,3,321076,6,15,3,NA,NA,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
