LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.67097,11.84864,41,242,240,2,,SE,12,720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:09:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67097,11.84864,41,242,240,2,,SE,12,720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:09:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67037,11.84204,63,270,258,2,,SE,12,-720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:11:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67037,11.84204,63,270,258,2,,SE,12,-720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:11:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67036,11.8351,81,277,271,2,,SE,12,-720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:13:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67036,11.8351,81,277,271,2,,SE,12,-720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:13:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67159,11.81614,287,273,269,2,,SE,12,0,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:15:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67159,11.81614,287,273,269,2,,SE,12,0,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:15:08.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67189,11.78607,291,285,285,2,,SE,12,720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:17:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67733,11.7551,289,269,268,2,,SE,12,720,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:19:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
57.67785,11.73921,286,273,268,3,,SE,12,0,RESCUE LARS LINDFELT,3,321277,4,6,2,NA,NA,1,2016-12-15T08:21:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Tug,gothenborg,0
