LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.77215,11.61889,1,181,45,2,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61889,1,181,45,3,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.6189,0,312,47,2,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.6189,0,312,47,4,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61888,1,284,46,3,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77217,11.6189,0,328,46,2,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77217,11.6189,0,328,46,4,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77217,11.6189,0,328,46,6,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77214,11.61889,0,51,46,3,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77214,11.61889,0,51,46,5,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61889,0,163,46,2,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61889,0,163,46,5,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61888,0,7,47,3,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.77215,11.61888,0,7,47,5,3:E MAN,SE,16,0,RESCUE MARTA COLLIN,3,321341,5,8,3,NA,NA,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
