LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60025,11.79373,1,180,511,1069,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1070,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1073,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1075,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1077,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1079,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1081,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1083,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1085,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
57.60025,11.79373,1,180,511,1087,,SE,8,0,INGEMAR,3,322279,2,4,1,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Tug,gothenborg,1
